Toad,Date,Hour,Minute,Cycle,Easting,Northing
108,2009-07-10,2,20,night,551786.2,4713856.6
108,2009-07-10,4,45,night,551790.7,4713863.8
108,2009-07-10,17,6,day,551788.8,4713866
108,2009-07-10,22,33,night,551782.2,4713845.9
108,2009-07-10,23,42,night,551775.2,4713847.7
108,2009-07-11,14,19,day,551758.8,4713875.8
108,2009-07-11,22,40,night,551796.4,4713848.6
108,2009-07-11,23,57,night,551774.3,4713851.5
108,2009-07-12,17,0,day,551753.8,4713874.7
108,2009-07-13,0,15,night,551754.9,4713872.2
108,2009-07-13,1,13,night,551753.6,4713871.2
108,2009-07-13,16,38,day,551750.9,4713870.1
108,2009-07-13,23,24,night,551780.4,4713849
108,2009-07-14,0,41,night,551755.8,4713850.9
108,2009-07-14,16,11,day,551766.1,4713872.4
108,2009-07-14,23,15,night,551761.4,4713846.8
108,2009-07-15,1,24,night,551795.4,4713860.8
237,2009-07-09,0,3,night,552014.1,4713815.3
237,2009-07-09,0,40,night,552029.7,4713815.3
237,2009-07-10,23,15,night,552103.6,4713796.9
237,2009-07-11,23,9,night,552057.4,4713809.3
237,2009-07-11,23,37,night,552068.2,4713810
237,2009-07-12,18,11,day,552059.8,4713816.1
237,2009-07-13,23,54,night,552035,4713813.1
237,2009-07-15,1,8,night,552069.4,4713807.2
237,2009-07-22,1,9,night,552057.4,4713807.3
237,2009-07-25,2,20,night,552069.5,4713805.8
237,2009-07-26,2,45,night,552004,4713820.7
237,2009-07-30,23,55,night,552066.9,4713805.9
237,2009-08-01,0,52,night,552058.9,4713804
237,2009-08-01,1,34,night,552069.1,4713801.8
237,2009-08-01,11,48,day,552080.6,4713824.6
237,2009-08-03,23,12,night,552065.4,4713805.9
237,2009-08-03,23,57,night,552056.8,4713805.5
237,2009-08-10,23,45,night,552056,4713809.2
237,2009-08-11,0,8,night,552050.8,4713807.2
237,2009-08-11,18,17,day,552080.5,4713827.3
237,2009-08-12,1,50,night,552093.2,4713798.8
237,2009-08-12,2,0,night,551998.5,4713820.4
237,2009-08-12,20,14,day,552055.8,4713811.9
237,2009-08-12,23,48,night,552015.5,4713813.9
237,2009-08-13,17,34,day,552056.2,4713813.8
237,2009-08-13,22,54,night,552053,4713805.8
237,2009-08-13,23,19,night,552056.6,4713807.3
237,2009-08-14,11,36,day,552068.6,4713810.8
237,2009-08-14,23,15,night,552075.5,4713802.5
237,2009-08-15,0,11,night,552078.9,4713799.7
237,2009-08-15,18,29,day,552082.4,4713827
237,2009-08-15,23,47,night,552048.9,4713811.1
237,2009-08-16,18,30,day,552072.8,4713824.8
237,2009-08-16,23,14,night,552056.2,4713805.6
240,2009-07-14,23,55,night,552146.4,4713792
240,2009-07-21,1,10,night,552128.4,4713788.8
240,2009-07-21,17,50,day,552165,4713788.5
